iter	Logloss
0	0.6711382331
1	0.6530854934
2	0.6398940592
3	0.6273367273
4	0.6160229604
5	0.607124039
6	0.6005956418
7	0.5923885578
8	0.5869114516
9	0.5816729286
10	0.577621892
11	0.5733362115
12	0.5700009331
13	0.5663570957
14	0.5638574263
15	0.5607995197
16	0.5583787059
17	0.5564574509
18	0.5544470951
19	0.5526131553
20	0.5506662909
21	0.5491633569
22	0.54761119
23	0.5462166023
24	0.5450011534
25	0.5435472803
26	0.5422510324
27	0.5413162622
28	0.5399172946
29	0.5387820923
30	0.5379814994
31	0.5372587419
32	0.5362767195
33	0.5353990778
34	0.5343312944
35	0.5336079663
36	0.5325126126
37	0.5314915741
38	0.5305007732
39	0.5296471552
40	0.5287731956
41	0.5278710515
42	0.5268481881
43	0.5258749194
44	0.5252131135
45	0.5245715058
46	0.5238597595
47	0.5230825429
48	0.5223805339
49	0.5220036663
50	0.5210659927
51	0.5204408783
52	0.5197981483
53	0.5194546503
54	0.5188259099
55	0.5182695163
56	0.5176000995
57	0.5170713309
58	0.5158498633
59	0.5149563521
60	0.5143693937
61	0.5139592384
62	0.5135571261
63	0.5130831949
64	0.5123391528
65	0.511591363
66	0.511098953
67	0.5106529997
68	0.5100949925
69	0.5095942385
70	0.5092952684
71	0.5090995333
72	0.5090603329
73	0.5084728589
74	0.5078390178
75	0.5069684256
76	0.5063151537
77	0.5059951603
78	0.5055450873
79	0.5052107251
80	0.5044998998
81	0.5041650072
82	0.503573026
83	0.5032052872
84	0.5020561783
85	0.5017052343
86	0.5011977428
87	0.5004987501
88	0.5000551198
89	0.4995142806
90	0.4987278764
91	0.4980620699
92	0.4976342073
93	0.4972093896
94	0.4968300535
95	0.496055179
96	0.4953367384
97	0.4943390716
98	0.4934387693
99	0.4933638411
