iter	Passed	Remaining
0	5	584
1	12	627
2	16	521
3	22	535
4	30	581
5	35	551
6	39	520
7	44	506
8	49	504
9	54	494
10	60	493
11	66	490
12	74	498
13	79	487
14	83	473
15	95	501
16	101	493
17	105	480
18	110	472
19	115	461
20	119	448
21	122	435
22	127	426
23	131	415
24	135	407
25	141	403
26	145	393
27	150	385
28	154	377
29	159	371
30	163	362
31	166	354
32	170	347
33	176	341
34	181	336
35	185	329
36	190	324
37	195	319
38	201	314
39	205	308
40	210	302
41	213	295
42	218	289
43	223	283
44	227	277
45	230	270
46	234	264
47	241	261
48	244	254
49	248	248
50	252	242
51	257	237
52	263	233
53	267	227
54	271	222
55	276	216
56	280	211
57	284	206
58	289	201
59	293	195
60	296	189
61	300	184
62	305	179
63	309	174
64	313	168
65	317	163
66	322	158
67	326	153
68	331	148
69	335	143
70	340	139
71	345	134
72	347	128
73	352	123
74	357	119
75	361	114
76	366	109
77	370	104
78	375	99
79	380	95
80	384	90
81	387	85
82	392	80
83	396	75
84	401	70
85	405	65
86	410	61
87	415	56
88	419	51
89	424	47
90	430	42
91	436	37
92	439	33
93	444	28
94	449	23
95	453	18
96	458	14
97	465	9
98	469	4
99	473	0
